,away_name,away_abbr,home_name,home_abbr,winning_name,winning_abbr,week
75,Chicago Bears,chi,Las Vegas Raiders,rai,Chicago Bears,chi,5
76,New York Giants,nyg,Dallas Cowboys,dal,Dallas Cowboys,dal,5
77,San Francisco 49ers,sfo,Arizona Cardinals,crd,Arizona Cardinals,crd,5
78,Buffalo Bills,buf,Kansas City Chiefs,kan,Buffalo Bills,buf,5
79,Indianapolis Colts,clt,Baltimore Ravens,rav,Baltimore Ravens,rav,5
80,Tampa Bay Buccaneers,tam,Philadelphia Eagles,phi,Tampa Bay Buccaneers,tam,6
81,Miami Dolphins,mia,Jacksonville Jaguars,jax,Jacksonville Jaguars,jax,6
82,Green Bay Packers,gnb,Chicago Bears,chi,Green Bay Packers,gnb,6
83,Minnesota Vikings,min,Carolina Panthers,car,Minnesota Vikings,min,6
84,Kansas City Chiefs,kan,Washington Football Team,was,Kansas City Chiefs,kan,6
85,Los Angeles Chargers,sdg,Baltimore Ravens,rav,Baltimore Ravens,rav,6
86,Los Angeles Rams,ram,New York Giants,nyg,Los Angeles Rams,ram,6
87,Cincinnati Bengals,cin,Detroit Lions,det,Cincinnati Bengals,cin,6
88,Houston Texans,htx,Indianapolis Colts,clt,Indianapolis Colts,clt,6
89,Arizona Cardinals,crd,Cleveland Browns,cle,Arizona Cardinals,crd,6
90,Dallas Cowboys,dal,New England Patriots,nwe,Dallas Cowboys,dal,6
91,Las Vegas Raiders,rai,Denver Broncos,den,Las Vegas Raiders,rai,6
92,Seattle Seahawks,sea,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,6
93,Buffalo Bills,buf,Tennessee Titans,oti,Tennessee Titans,oti,6
94,Denver Broncos,den,Cleveland Browns,cle,Cleveland Browns,cle,7
95,Washington Football Team,was,Green Bay Packers,gnb,Green Bay Packers,gnb,7
96,Cincinnati Bengals,cin,Baltimore Ravens,rav,Cincinnati Bengals,cin,7
97,Kansas City Chiefs,kan,Tennessee Titans,oti,Tennessee Titans,oti,7
98,Carolina Panthers,car,New York Giants,nyg,New York Giants,nyg,7
99,New York Jets,nyj,New England Patriots,nwe,New England Patriots,nwe,7
100,Atlanta Falcons,atl,Miami Dolphins,mia,Atlanta Falcons,atl,7
101,Detroit Lions,det,Los Angeles Rams,ram,Los Angeles Rams,ram,7
102,Philadelphia Eagles,phi,Las Vegas Raiders,rai,Las Vegas Raiders,rai,7
103,Houston Texans,htx,Arizona Cardinals,crd,Arizona Cardinals,crd,7
104,Chicago Bears,chi,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,7
105,Indianapolis Colts,clt,San Francisco 49ers,sfo,Indianapolis Colts,clt,7
106,New Orleans Saints,nor,Seattle Seahawks,sea,New Orleans Saints,nor,7
107,Green Bay Packers,gnb,Arizona Cardinals,crd,Green Bay Packers,gnb,8
108,Miami Dolphins,mia,Buffalo Bills,buf,Buffalo Bills,buf,8
109,Carolina Panthers,car,Atlanta Falcons,atl,Carolina Panthers,car,8
110,Cincinnati Bengals,cin,New York Jets,nyj,New York Jets,nyj,8
111,Los Angeles Rams,ram,Houston Texans,htx,Los Angeles Rams,ram,8
112,Philadelphia Eagles,phi,Detroit Lions,det,Philadelphia Eagles,phi,8
113,Tennessee Titans,oti,Indianapolis Colts,clt,Tennessee Titans,oti,8
114,Pittsburgh Steelers,pit,Cleveland Browns,cle,Pittsburgh Steelers,pit,8
115,San Francisco 49ers,sfo,Chicago Bears,chi,San Francisco 49ers,sfo,8
116,Jacksonville Jaguars,jax,Seattle Seahawks,sea,Seattle Seahawks,sea,8
117,New England Patriots,nwe,Los Angeles Chargers,sdg,New England Patriots,nwe,8
118,Tampa Bay Buccaneers,tam,New Orleans Saints,nor,New Orleans Saints,nor,8
119,Washington Football Team,was,Denver Broncos,den,Denver Broncos,den,8
120,Dallas Cowboys,dal,Minnesota Vikings,min,Dallas Cowboys,dal,8
121,New York Giants,nyg,Kansas City Chiefs,kan,Kansas City Chiefs,kan,8
122,New York Jets,nyj,Indianapolis Colts,clt,Indianapolis Colts,clt,9
123,Cleveland Browns,cle,Cincinnati Bengals,cin,Cleveland Browns,cle,9
124,New England Patriots,nwe,Carolina Panthers,car,New England Patriots,nwe,9
125,Minnesota Vikings,min,Baltimore Ravens,rav,Baltimore Ravens,rav,9
126,Las Vegas Raiders,rai,New York Giants,nyg,New York Giants,nyg,9
127,Atlanta Falcons,atl,New Orleans Saints,nor,Atlanta Falcons,atl,9
128,Houston Texans,htx,Miami Dolphins,mia,Miami Dolphins,mia,9
129,Buffalo Bills,buf,Jacksonville Jaguars,jax,Jacksonville Jaguars,jax,9
130,Denver Broncos,den,Dallas Cowboys,dal,Denver Broncos,den,9
131,Los Angeles Chargers,sdg,Philadelphia Eagles,phi,Los Angeles Chargers,sdg,9
132,Arizona Cardinals,crd,San Francisco 49ers,sfo,Arizona Cardinals,crd,9
133,Green Bay Packers,gnb,Kansas City Chiefs,kan,Kansas City Chiefs,kan,9
134,Tennessee Titans,oti,Los Angeles Rams,ram,Tennessee Titans,oti,9
135,Chicago Bears,chi,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,9
136,Baltimore Ravens,rav,Miami Dolphins,mia,Miami Dolphins,mia,10
137,Jacksonville Jaguars,jax,Indianapolis Colts,clt,Indianapolis Colts,clt,10
138,Tampa Bay Buccaneers,tam,Washington Football Team,was,Washington Football Team,was,10
139,Detroit Lions,det,Pittsburgh Steelers,pit,,,10
140,New Orleans Saints,nor,Tennessee Titans,oti,Tennessee Titans,oti,10
141,Buffalo Bills,buf,New York Jets,nyj,Buffalo Bills,buf,10
142,Cleveland Browns,cle,New England Patriots,nwe,New England Patriots,nwe,10
143,Atlanta Falcons,atl,Dallas Cowboys,dal,Dallas Cowboys,dal,10
144,Carolina Panthers,car,Arizona Cardinals,crd,Carolina Panthers,car,10
145,Minnesota Vikings,min,Los Angeles Chargers,sdg,Minnesota Vikings,min,10
146,Seattle Seahawks,sea,Green Bay Packers,gnb,Green Bay Packers,gnb,10
147,Philadelphia Eagles,phi,Denver Broncos,den,Philadelphia Eagles,phi,10
148,Kansas City Chiefs,kan,Las Vegas Raiders,rai,Kansas City Chiefs,kan,10
149,Los Angeles Rams,ram,San Francisco 49ers,sfo,San Francisco 49ers,sfo,10
150,New England Patriots,nwe,Atlanta Falcons,atl,New England Patriots,nwe,11
151,Washington Football Team,was,Carolina Panthers,car,Washington Football Team,was,11
152,Indianapolis Colts,clt,Buffalo Bills,buf,Indianapolis Colts,clt,11
153,New Orleans Saints,nor,Philadelphia Eagles,phi,Philadelphia Eagles,phi,11
154,Houston Texans,htx,Tennessee Titans,oti,Houston Texans,htx,11
155,Miami Dolphins,mia,New York Jets,nyj,Miami Dolphins,mia,11
156,Green Bay Packers,gnb,Minnesota Vikings,min,Minnesota Vikings,min,11
157,San Francisco 49ers,sfo,Jacksonville Jaguars,jax,San Francisco 49ers,sfo,11
158,Detroit Lions,det,Cleveland Browns,cle,Cleveland Browns,cle,11
159,Baltimore Ravens,rav,Chicago Bears,chi,Baltimore Ravens,rav,11
160,Cincinnati Bengals,cin,Las Vegas Raiders,rai,Cincinnati Bengals,cin,11
161,Arizona Cardinals,crd,Seattle Seahawks,sea,Arizona Cardinals,crd,11
162,Dallas Cowboys,dal,Kansas City Chiefs,kan,Kansas City Chiefs,kan,11
163,Pittsburgh Steelers,pit,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,11
164,New York Giants,nyg,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,11
165,Chicago Bears,chi,Detroit Lions,det,Chicago Bears,chi,12
166,Las Vegas Raiders,rai,Dallas Cowboys,dal,Las Vegas Raiders,rai,12
167,Buffalo Bills,buf,New Orleans Saints,nor,Buffalo Bills,buf,12
168,Philadelphia Eagles,phi,New York Giants,nyg,New York Giants,nyg,12
169,Tennessee Titans,oti,New England Patriots,nwe,New England Patriots,nwe,12
170,Carolina Panthers,car,Miami Dolphins,mia,Miami Dolphins,mia,12
171,Atlanta Falcons,atl,Jacksonville Jaguars,jax,Atlanta Falcons,atl,12
172,New York Jets,nyj,Houston Texans,htx,New York Jets,nyj,12
173,Tampa Bay Buccaneers,tam,Indianapolis Colts,clt,Tampa Bay Buccaneers,tam,12
174,Pittsburgh Steelers,pit,Cincinnati Bengals,cin,Cincinnati Bengals,cin,12
175,Los Angeles Chargers,sdg,Denver Broncos,den,Denver Broncos,den,12
176,Minnesota Vikings,min,San Francisco 49ers,sfo,San Francisco 49ers,sfo,12
177,Los Angeles Rams,ram,Green Bay Packers,gnb,Green Bay Packers,gnb,12
178,Cleveland Browns,cle,Baltimore Ravens,rav,Baltimore Ravens,rav,12
179,Seattle Seahawks,sea,Washington Football Team,was,Washington Football Team,was,12
180,Dallas Cowboys,dal,New Orleans Saints,nor,,,13
181,Arizona Cardinals,crd,Chicago Bears,chi,,,13
182,Tampa Bay Buccaneers,tam,Atlanta Falcons,atl,,,13
183,Philadelphia Eagles,phi,New York Jets,nyj,,,13
184,New York Giants,nyg,Miami Dolphins,mia,,,13
185,Denver Broncos,den,Kansas City Chiefs,kan,,,13
186,Indianapolis Colts,clt,Houston Texans,htx,,,13
187,Minnesota Vikings,min,Detroit Lions,det,,,13
188,Los Angeles Chargers,sdg,Cincinnati Bengals,cin,,,13
189,Washington Football Team,was,Las Vegas Raiders,rai,,,13
190,Jacksonville Jaguars,jax,Los Angeles Rams,ram,,,13
191,Baltimore Ravens,rav,Pittsburgh Steelers,pit,,,13
192,San Francisco 49ers,sfo,Seattle Seahawks,sea,,,13
193,New England Patriots,nwe,Buffalo Bills,buf,,,13
194,Pittsburgh Steelers,pit,Minnesota Vikings,min,,,14
195,San Francisco 49ers,sfo,Cincinnati Bengals,cin,,,14
196,Atlanta Falcons,atl,Carolina Panthers,car,,,14
197,Dallas Cowboys,dal,Washington Football Team,was,,,14
198,Jacksonville Jaguars,jax,Tennessee Titans,oti,,,14
