week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,Accuracy
12,Atlanta Falcons,Jacksonville Jaguars,0.9275108,0.0724892,Atlanta Falcons,Atlanta Falcons,1
12,Buffalo Bills,New Orleans Saints,0.99971175,0.00028824806,Buffalo Bills,Buffalo Bills,1
12,Carolina Panthers,Miami Dolphins,0.059175372,0.9408246,Miami Dolphins,Miami Dolphins,1
12,Chicago Bears,Detroit Lions,0.99665344,0.0033465624,Chicago Bears,Chicago Bears,1
12,Cleveland Browns,Baltimore Ravens,0.8905912,0.109408796,Cleveland Browns,Baltimore Ravens,0
12,Las Vegas Raiders,Dallas Cowboys,0.18299446,0.8170055,Dallas Cowboys,Las Vegas Raiders,0
12,Los Angeles Chargers,Denver Broncos,0.99569607,0.004303932,Los Angeles Chargers,Denver Broncos,0
12,Los Angeles Rams,Green Bay Packers,0.91384757,0.086152434,Los Angeles Rams,Green Bay Packers,0
12,Minnesota Vikings,San Francisco 49ers,7.884711e-05,0.99992114,San Francisco 49ers,San Francisco 49ers,1
12,New York Jets,Houston Texans,0.9981503,0.0018497109,New York Jets,New York Jets,1
12,Philadelphia Eagles,New York Giants,0.99995625,4.374981e-05,Philadelphia Eagles,New York Giants,0
12,Pittsburgh Steelers,Cincinnati Bengals,0.000762403,0.9992376,Cincinnati Bengals,Cincinnati Bengals,1
12,Seattle Seahawks,Washington Football Team,0.99791974,0.0020802617,Seattle Seahawks,Washington Football Team,0
12,Tampa Bay Buccaneers,Indianapolis Colts,0.858461,0.14153898,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1
12,Tennessee Titans,New England Patriots,0.96457815,0.03542185,Tennessee Titans,New England Patriots,0
